WP-00790,Wavenumber,PMMA200ppm-1,PMMA200ppm-2,PMMA200ppm-3,PMMA100ppm-1,PMMA100ppm-2,PMMA100ppm-3,PMMA50ppm-1,PMMA50ppm-2,PMMA50ppm-3,PMMA10ppm-1,PMMA10ppm-2,PMMA10ppm-3,PMMA5ppm-1,PMMA5ppm-2,PMMA5ppm-3
830.6,698.64,124,110.48,96.89,165.75,172.55,146.5,154.63,136.74,193.78,70.41,61.24,78.45,53.01,37.87,42.87
830.74,700.65,336.8,317.43,271.19,392.72,362.95,362.4,361.2,286,360.85,179.39,149.14,199.91,108.09,132.12,118.17
830.88,702.66,565.92,468.36,492.1,616.36,552.36,575.89,501.92,446.96,500.63,257.16,255.6,277.93,173.45,213.98,193.8
831.02,704.67,599.44,528.53,561.12,669.79,556.56,561.17,524.11,490.08,520.9,250.79,236.8,266.49,170.53,207.35,203.65
831.16,706.68,527.18,447.26,529.03,591.78,502.67,470.69,453.24,438.13,426.11,172.74,200.66,183.36,171.92,132.71,154.48
831.29,708.69,463.47,459.55,474.17,537.67,473,433.45,431.3,415.45,367.92,130.02,170.83,164.89,187.3,93.71,149.63
831.43,710.69,461.21,389.95,419.43,486.68,463.79,451.99,427.51,376.6,375.88,144.83,175.55,164.3,199.22,126.93,145.32
831.57,712.7,389.16,328.25,330.91,456.25,419.48,444.11,397.65,354.67,399.44,144.97,189.25,150.36,175.79,112.46,156.33
831.71,714.7,265.21,203.32,186.5,372.61,317.96,344,323.61,289.57,366.16,117.32,124.51,96.97,113.23,96.53,122.88
831.85,716.71,164.82,147.61,112.98,317.52,223.66,328.47,279.5,245.73,308.81,69.32,111.41,30.55,77.32,40.26,91.75
831.99,718.71,120.08,139.56,90.79,211.44,153.37,260.94,222.1,182.6,175.45,38.25,45.95,6.16,44.28,35.12,54.6
832.13,720.71,132.55,162.07,112.15,204.25,167.98,255.31,204.29,190.74,159.74,68.35,68.62,7.19,32.46,24.6,31.56
832.26,722.71,274.46,296.35,270.28,330.5,335.04,319.8,283.64,304.37,268.19,138.33,93.18,77.8,60.17,96.62,81.05
832.4,724.71,573.02,535.29,465.08,618.42,596.43,558.63,472.7,520.04,501.4,271.6,253.32,234.6,164.22,210.7,195.76
832.54,726.71,798.57,699.89,630.87,801.68,764.83,730.8,616.79,666.76,647.94,338.12,336.09,335.4,259.46,282.93,264.46
832.68,728.71,805.89,691.92,624.11,801.05,761.67,734.41,625.71,663.29,609.63,326.87,342.41,326.75,279.59,288.02,286.03
832.82,730.7,647.63,568.06,538.11,662.86,650.29,616.48,521.45,546.65,511.15,255.84,225.29,201,216.92,235.33,206.82
832.96,732.7,510.03,464.86,440.77,525,475.59,480.21,437.56,407.39,405.37,167.25,126.61,137.69,155.69,156.41,126.71
833.1,734.69,441.97,427.2,339.64,474.36,374.43,408.17,379.27,350.73,310.53,121.99,93.93,130.05,81.75,86.15,68.25
833.23,736.69,379.33,340.3,276.62,413.83,302.73,312.58,325.13,272.89,245.18,59.76,79.14,129.3,51.38,55.77,41.68
833.37,738.68,325.34,307.73,247.92,379.96,302.02,288.99,230.36,250.43,246.87,46.51,60.5,86.66,19.45,67.15,42.87
833.51,740.67,286.34,289.15,258.21,298.75,305.98,272.73,196.31,215.34,257.61,38.03,82.28,64.48,45.98,91.31,30.16
833.65,742.66,290.54,313.78,277.7,280.1,291.16,346.7,230.52,255.19,258.29,68.43,59.06,71.63,72.47,85.12,36.79
833.79,744.65,334.6,341.61,297.75,289.66,308.57,342.89,277,278.31,229.23,62.29,110.14,82.13,100.29,103.93,60.73
833.93,746.64,344.43,321.2,306.56,300.66,302.08,345.19,266.3,246.58,235.66,65.06,83.83,92.52,104.99,122.62,74.56
834.06,748.63,383.23,424.79,379.69,366.99,401.59,401.82,306.64,300.9,292.8,109.94,143.63,103.03,135.46,179.41,142.83
834.2,750.61,481.79,499.46,498.58,485.76,555.87,501.57,372.47,358.04,364.43,214.72,160.66,148.11,145.81,232.76,177.32
834.34,752.6,649.77,634.57,632.57,651.3,716.27,640.76,535.78,488.68,470.89,333.39,251.26,223.42,219.38,260.65,258.35
834.48,754.58,740.73,673.65,720.88,744.49,741.32,640.61,540.81,509.02,508.06,372.19,255.98,257.18,237.05,265.99,251.16
834.62,756.57,734.67,690.39,718.51,753.35,739.04,686.47,615.89,559.08,526.61,334.11,307.82,283.74,267.82,245.1,261.07
834.75,758.55,696.25,705.44,677.45,682.87,694.43,634.32,528.34,507.19,524.54,242.48,292.12,239.09,231.37,214.98,197.09
834.89,760.53,692.48,674.14,635.72,659.04,688.14,681.5,566.83,512.01,526.85,204.98,327.87,254.56,275.36,233.64,208.55
835.03,762.51,728.01,672.16,642.63,657.88,659.18,667.02,503.04,509.21,529.21,237.6,266.76,257.83,290.79,251.4,236.45
835.17,764.49,714.85,688.16,668.53,686.37,668.56,677.87,537.3,539.8,511.95,275.68,256.77,257.89,312.99,283.61,256.13
835.31,766.47,691.12,690.91,619.52,693.96,657.7,668.16,517.71,515.54,509.19,279,246.01,239.86,256.41,280.04,242.36
835.44,768.45,655.91,674.54,571.39,677.44,622.73,648.33,490.72,472.22,487.69,223,251.95,229.51,202.16,239.8,208.59
835.58,770.42,606.57,641.7,551.13,735.46,594.98,639.73,471,477.17,474.8,220.35,227.56,250.84,187.24,223.56,202.48
835.72,772.4,645.53,648.17,599.18,725.15,622.56,629.79,470.34,490.84,474.63,218.83,238.64,242.98,211.43,246.43,196.49
835.86,774.37,677.47,706.96,655.56,775.15,721.8,691.18,537.38,544.56,504.18,251.11,306.19,277.58,269.39,306.74,215.27
836,776.34,768.83,750.17,673.69,728.59,750.15,699.35,561.25,553.77,557.88,239.96,363.64,288.09,295.58,325.28,245.61
836.13,778.32,757.94,755.8,694.58,741.81,763.6,707.96,548.95,602.48,574.08,252.39,352.01,304.18,272.99,295.04,248.5
836.27,780.29,780.14,769.2,751.9,743.46,752.83,726.68,545.48,610.69,602.78,282.39,342.95,330.51,291.95,300.36,276.61
836.41,782.26,805.97,782.9,795.87,829.1,799.72,847.06,576.72,673.61,605.19,335.86,359.36,331.98,317.69,331.45,288.84
836.55,784.23,854.34,859.14,842.71,862.28,826.83,914.67,614.91,672.81,657.55,372.36,400.79,373.48,360.76,335.55,335.74
836.69,786.2,891.9,900.91,888.09,876.02,839.5,899.49,636.03,663.95,653.85,362.87,391.25,354,373.17,332.99,334.64
836.82,788.16,927.77,933.33,959.45,894.41,859.15,902.98,665.53,638.15,682.87,389.86,396.85,437.99,376.36,334.87,368.32
836.96,790.13,973.06,936.17,997.57,901.91,872.25,895.91,731.54,657.5,679.72,398.76,426.03,422.89,379.1,348.98,335.89
837.1,792.09,989.1,958.77,971.12,890.18,861.13,944.62,724.04,645.36,694.4,433.24,450.12,440.72,364.4,345.31,335.02
837.24,794.06,951.11,948.69,896.65,787.77,835,836.33,657.59,625.94,632.14,350.19,406.02,360.35,320.82,286.43,287.6
837.37,796.02,910.99,869.13,836.39,764.25,806.42,789.26,545.42,604.13,560.15,314.5,330.95,352.34,281.24,267.22,242.18
837.51,797.98,868.06,796.12,766.66,697.61,713.4,684.75,506.86,570.94,499.12,260.84,239.24,302.7,223.99,202.34,193.77
837.65,799.94,935.33,825.63,832.81,757.52,741.93,716.13,534.25,535.35,525.69,280.88,250.56,311.09,244.09,243.14,197.69
837.79,801.9,1034.69,974.91,971.72,793.86,797.91,771.95,587.8,547.6,577.1,287.83,253.81,304.39,250.07,270.51,226.51
837.92,803.86,1241.35,1200.83,1193.95,999.54,984.88,933.77,673.74,665.58,686.56,356.59,361.86,389.51,327.84,355.98,298.12
838.06,805.82,1414.88,1421.28,1377.72,1147.76,1108.41,1115.48,741.63,802.5,786.64,405.05,396.27,417.67,369.95,361.14,312.73
838.2,807.78,1626.94,1576.61,1532.02,1277.87,1204.5,1220.75,800.13,880.37,828.01,422.55,421.39,464.18,368.39,331.97,357.01
838.34,809.73,1710.53,1684.47,1610.87,1294.86,1258.47,1259.58,813.91,846.52,783.98,377.74,361.21,402.74,295.51,265.47,304.64
838.47,811.69,1681.21,1648.09,1623.81,1239.63,1208.22,1221.18,754.19,765.52,710.8,337.85,298.62,351.55,189.86,200.53,238.16
838.61,813.64,1559.75,1569.92,1523.96,1168.95,1163.19,1147.35,689.76,667.12,645.23,310.66,272.73,275.4,159.22,167.28,185.69
838.75,815.6,1396.61,1400.72,1396.76,1084.6,1028.5,1011.85,642.05,624.46,612.06,291.62,296.65,244.06,185.69,166.14,189.67
838.89,817.55,1299.99,1298.07,1238.44,1016.14,1008.7,938.91,615.3,622.08,599.84,320.28,319.95,261.43,248.5,230.01,241.33
839.02,819.5,1231.13,1233.17,1182.55,966.79,982.68,905.09,654.05,663.88,659.79,357.87,386.5,339.39,311.22,295.12,286.55
839.16,821.45,1225.59,1197.59,1122.64,917.1,1008.33,961.27,619.52,660.41,662.47,431.94,429.21,397.16,320.71,375.68,298.9
839.3,823.4,1131.46,1094.77,1105.84,853.52,902.1,877.9,626.51,608.44,599.33,412.6,458.17,399.53,288.44,360.14,276.81
839.43,825.35,1003.43,991.37,983.13,776.72,797.65,787.98,565.01,530.66,502.7,394.18,414.4,353.17,259.41,326.5,250.95
839.57,827.29,898.6,936.19,936.63,756.14,711.42,713.3,587.12,530.49,505.03,345.81,387.33,327.51,289.38,308.2,288.44
839.71,829.24,902.19,912.43,883.57,751.67,714.65,731.06,587.75,578.5,523.86,351.7,323.52,277.78,317.91,327.81,317.16
839.85,831.18,954.87,934.77,932.94,761.99,765.66,771.94,609.22,622.03,591.54,323.18,326.65,293.65,374.02,381.32,331.45
