WP-00790,,PE0.05ppm,PE0.1ppm,PE0.5ppm,PE1ppm,PE5ppm,PE10ppm,PE50ppm,PE100ppm,PE200ppm
Wavelength,Wavenumber,Processed,Processed,Processed,Processed,Processed,Processed,Processed,Processed,Processed
857.7,1079.02,0,0,0,0,0,0,0,0,0
857.83,1080.83,0,0,0,0,0,0,0,0,0
857.97,1082.64,0,0,0,0,0,0,0,0,0
858.1,1084.45,0,0,0,0,0,0,0,0,0
858.23,1086.26,0,0,0,0,0,0,0,0,0
858.36,1088.06,0,0,0,0,0,0,0,0,0
858.5,1089.87,0,0,0,0,0,0,0,0,0
858.63,1091.67,0,0,0,0,0,0,0,0,0
858.76,1093.48,0,0,0,0,0,0,0,0,0
858.9,1095.28,0,0,0,0,0,0,0,0,0
859.03,1097.08,0,0,0,0,0,0,0,0,0
859.16,1098.88,0,0,0,0,0,0,0,0,0
859.3,1100.68,0,0,0,0,0,0,0,0,0
859.43,1102.48,0,0,0,0,0,0,0,0,0
859.56,1104.27,0,0,0,0,0,0,0,0,0
859.69,1106.07,0,0,4.21,0,0,0,0,0,0
859.83,1107.86,0,16.49,4.21,0,0,0,0,0,0
859.96,1109.66,0,16.49,4.21,0,0,0,0,0,0
860.09,1111.45,0,16.49,0,0,0,0,0,0,0
860.22,1113.24,0,3.85,8.85,0,1.45,3.5,0,0,9.47
860.36,1115.03,0,5.46,8.85,0,1.45,3.5,0,0,9.47
860.49,1116.82,0,8.61,14.16,0,1.45,3.5,0,0,9.47
860.62,1118.61,0,7.87,5.31,9.75,0,2.13,0,0,14.9
860.75,1120.4,0,14.04,5.31,10.07,2.15,2.13,0,0,48.41
860.89,1122.19,0.78,12.98,11.22,10.94,13.83,6.81,0,0,87.89
861.02,1123.97,0.78,11.93,11.22,1.18,14.02,4.68,0,6.13,96.8
861.15,1125.76,6.8,7.67,21.07,9.31,16.04,4.68,0,6.13,126.87
861.28,1127.54,15.94,11.75,20.81,8.44,4.37,0,0,26.56,163.98
861.42,1129.33,17.2,9.67,20.81,8.47,4.17,0,13.93,36.61,219.92
