wavenumber,PS 0.1ppm-1,PS 0.1ppm-2,PS 0.1ppm-3,PS 0.5ppm-1,PS 0.5ppm-2,PS 0.5ppm-3,PS 1.0ppm-1,PS 1.0ppm-2,PS 1.0ppm-3,PS 5ppm-1,PS 5ppm-2,PS 5ppm-3,PS 10ppm-1,PS 10ppm-2,PS 10ppm-3,PS 50ppm-1,PS 50ppm-2,PS 50ppm-3,PS 100ppm-1,PS 100ppm-2,PS 100ppm-3,PS 200ppm-1,PS 200ppm-2,PS 200ppm-3
590.58,73.15,102.73,90.45,153.36,114.16,144.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
592.64,108.25,98.58,102.64,160.05,142.65,97.86,0,21.21,15.02,0.15,0,7.9,0,0,0,0,0,0,0,0,0,0,0,0
594.71,86.65,102.39,92.45,163.34,130.07,84.73,12.23,24.34,32.33,14.95,9.96,7.9,0,0,0,3.93,0,0,11.84,18.91,31.24,33.1,37.16,22.18
596.77,97.59,62.74,73.13,128.13,131.99,42.11,21.04,24.34,51.24,27.71,21.56,12.1,0,0,0,19.86,2.67,22.56,47.7,85.89,73.85,113,104.5,96.19
598.83,62.73,41.94,51,113.08,75.73,45.31,36.98,18.98,39.61,74.16,52,5.59,12.78,0,14.78,73.32,44.53,34.97,81.44,126.77,120.35,179.56,207.86,173.54
600.89,54.06,19.34,38.39,108.53,84.31,73.01,38.48,15.85,22.54,86.12,42.04,21.15,13.95,19.94,30.64,120.66,55.2,89.51,123.52,163.61,155.8,244.29,255.04,250.02
602.95,57.04,13.71,71.76,82.93,74.49,100.99,36.64,25.07,23.45,84.7,30.45,37.44,26.39,46.14,56.77,115.22,105.75,79.39,108.81,119.67,144.8,242.56,254.77,215.38
605.01,53.68,8.82,55.07,45.19,71.05,85.92,20.7,9.22,20.05,38.1,0,36.05,13.62,46.14,41.99,61.77,63.9,66.98,75.07,78.79,112.69,187.73,154.71,138.03
607.07,28.48,14.47,43.06,14.02,29.79,36.46,12.51,19.68,23.27,11.34,7.46,24.25,12.44,26.2,26.13,58.79,77.25,49.98,65.16,63.97,91.47,145.11,117.21,103.15
609.13,0,13.41,21.02,0,19.81,11.29,18.3,26.81,20.48,37.46,46.14,28.74,84.17,62.24,69.56,155.71,122.16,145.55,166.48,156.71,164.82,258.06,237.93,261.84
611.18,0,13.41,21.02,0,19.81,10.57,19.5,35.61,20.48,83.68,66.92,62.48,207.26,177.4,178.39,268.1,235.62,267.19,329.97,327.18,277.38,482.22,512.87,473.34
613.24,0,0,19.81,0,10.72,3.73,24.16,41.61,36.56,122.18,100.53,98.77,342.47,323.68,294.35,380.37,360.23,351.45,452.64,456.28,400.07,676.17,723.6,667.36
615.29,0,0,0,0,0,0,35.36,25.26,19.53,109.29,122.99,118.91,385.95,386.13,339.19,406.77,401.63,399.17,501.11,504.5,459.88,732.24,803.77,700.83
617.35,20.94,2.29,0,20.89,0,0,50.66,33.9,19.53,103.8,146.85,123.79,378.68,409.18,348.29,412.85,413.72,402.58,510.26,506.06,479.04,766.99,789.29,737.97
619.4,20.94,2.29,0,20.89,0,0,40.46,45.65,3.35,100.04,140.79,111.4,334.33,319.15,333.97,328.95,368.16,351.67,446.09,453.31,424.87,747.41,765.81,712.13
621.45,20.94,14.5,0.98,25.68,0,7.76,46.85,54.28,27.83,88.25,106.35,93.31,253.57,246.04,283.91,274.95,308.17,273.67,390.17,374.79,410.94,680.41,686.58,640.51
623.5,0,19.99,0.98,4.79,0,7.76,30.35,36.84,27.83,47.53,61.71,62.17,137.75,116.97,165.99,156.48,200.76,156.25,261.82,231.52,292.91,469.97,481.24,436.47
625.55,0,29.77,0.98,15.43,0,64.55,30.35,8.78,24.47,28.22,26.7,34.51,46.88,60.72,64.34,79.82,107.49,85.63,170.6,130.04,198.01,289,295.37,225.22
627.6,27.39,27.68,0,12.41,38.18,56.78,0,15.93,9.04,28.76,36.26,23.75,0,9.13,0,19,63.02,56.48,107.85,79.03,82.25,150.83,129.29,119.77
629.64,36.88,28.46,0,18.75,60.74,71.77,1.9,15.93,9.19,67.04,62.16,32.17,11.6,0,9.77,56.7,91.36,85.81,112.58,139.49,114.61,164.79,142.01,133.79
631.69,36.91,31.78,12.18,51.44,62.43,51.71,15.98,15.78,27.89,99.62,83.8,69.15,71.32,51.74,48.67,130.53,162.5,140.6,208.1,205.09,166.11,219.21,191.2,239.93
633.73,10.97,51.53,49.78,61.22,77.62,73.07,40.46,25.79,42.99,128.27,74.46,81.17,127.25,114.68,119.47,220.67,197,200.42,268.32,285.71,255.3,307.34,307.42,325.77
635.78,1.49,53.49,49.78,92.52,89.01,61.3,48,25.79,70.63,136.78,95.32,82.03,175.66,180.69,173.24,272.63,234.65,271.39,347.36,314.13,291.29,378.93,390.44,389.75
637.82,51.09,86.77,52.71,93.13,168.36,78.49,48.53,63.06,73.93,176.25,138.47,96.2,234.89,243.9,259.51,345.5,308.89,365.95,434.97,401.48,394.87,465.11,517.71,475.97
639.86,61.35,56.9,20.3,106.38,145.35,124.99,60.72,58.6,93.56,206.69,181.59,153.33,326.84,327.17,358.82,425.96,408.38,437.43,535.18,469.74,483.36,565.55,614.23,576.12
