wavenumber,PMMA 10ppm-1,PMMA 10ppm-2,PMMA 10ppm-3,PMMA 50ppm-1,PMMA 50ppm-2,PMMA 50ppm-3,PMMA 100ppm-1,PMMA 100ppm-2,PMMA 100ppm-3,PMMA 200ppm-1,PMMA 200ppm-2,PMMA 200ppm-3
1787.77,0.18,0,0,57.59,56.04,54.31,71.08,43.38,73.16,0,0,0
1789.13,0.07,0,0,75.29,72.96,59.08,74.8,74.72,72.63,0,0,0
1790.49,0.07,0,0,73.82,84.7,67.35,62,82.17,66.92,0,0,0
1791.85,3.12,0,0,105.5,115.6,107.46,52,93.77,74.03,0,0,0
1793.21,13.69,0,0,116.11,107.76,120.18,78.58,104.28,83.05,0,0,0
1794.57,30.86,10.96,0,163.1,147.97,130.28,136.84,125.15,103.1,0,11.48,4.2
1795.92,46.26,26.34,0,188.45,149.88,126.43,163.46,144.38,145.84,21.82,11.48,4.2
1797.28,73.28,51.11,0,203.39,218.71,169.19,204.98,169.52,175.5,24.12,26.05,22.94
1798.63,91.26,51.6,26.91,223.58,235.81,194.22,211.07,187.24,211.74,29.53,38.12,42.17
1799.98,101.43,50.62,76.11,226.24,236.37,207.74,223.28,213.42,197.44,39.16,60.57,82.92
1801.34,95.66,45.39,91.44,235.94,229.64,202.97,221.17,239.28,212.5,54.52,69.54,72.08
1802.69,106.75,74.37,86.08,235.76,213.04,201.01,236.85,230.93,211.34,80.38,75.02,57.75
1804.04,129.45,84.32,36.88,246.17,252.02,230.32,263.75,249.15,242.76,71.85,67.45,68.72
1805.39,134.33,77.81,21.54,255.37,259.14,239.11,272.43,238.15,236.64,64.49,73.72,84.87
1806.73,146.94,66.37,38.84,265.93,277.95,255.93,293.11,270.49,250.86,71.17,91.71,113.75
1808.08,131.72,60.47,49.51,274.61,281.88,257.9,285.9,249.95,237.19,75.35,92.21,87.15
1809.43,135.89,58.32,59.31,280.63,280.83,247.56,258.68,268.41,256.53,70.92,80.09,63.1
1810.77,111.45,58.57,24.69,276,272.8,238.92,234.46,250.87,247.21,78.53,52.36,28.63
1812.12,103.19,70.69,31.28,273.16,286.89,220.76,222.34,261.77,259,70.63,46.8,27.66
1813.46,85.09,101.33,29.76,284.76,280.43,232.39,237.65,243.11,219.57,82.21,40.73,34.04
1814.8,98.7,110.04,61,305.04,293.64,216.05,246.28,250.78,226.8,48.18,40.71,49.97
1816.14,134.26,128.39,57.56,299.21,291.09,236.94,261.78,254.99,238.58,79.4,59.29,55.18
1817.48,168.76,131.36,65.45,308.6,299.76,251.08,288.16,268.09,280.24,97.89,90.14,70.33
1818.82,201.75,157.19,54.54,319.09,321.2,313.35,308.29,307.27,294.01,148.86,136.15,119.65
1820.16,193.34,161.64,76.61,331.14,316.2,297.52,330.95,343.34,311.65,134.08,158.42,128.91
1821.5,217.31,144.49,75.78,358.18,341.2,317.04,349.92,367.38,330.27,163.67,150.07,154.23
1822.83,226.22,133.3,101.27,368.43,362.08,312.12,374.75,363.62,348.77,189.52,139.98,136.48
1824.17,245.27,131.29,96.62,388.78,410.73,341.65,391,350.96,364.69,224.17,150.37,152.9
1825.5,243.81,152.79,128.18,395.89,438.48,365.31,403.99,356.71,377.71,228.97,160.58,143.47
1826.83,225.5,142.8,114.27,395.43,415.66,382.74,411.72,358.21,373.81,210.9,185.93,151.87
1828.17,229.45,146.09,116.34,433.51,403.71,390.4,417.31,367.91,363.11,224.08,197.87,156.86
1829.5,240.88,151.89,134.94,433.67,389.19,374.16,424.3,367.68,375.16,220.72,215.95,158.35
1830.83,261.45,157.52,153.41,432.26,399.77,346.37,419.69,385.54,387.29,213.5,203.85,169.98
1832.16,271.28,183.11,154.85,402.71,379.54,356.14,428.6,373.57,399.94,196.86,192.32,171.21
1833.49,267.58,195.19,139.15,411.24,399.07,358.67,431.57,409.69,401.34,192.01,195.27,189.26
1834.81,249.36,196.78,124.31,419.19,399.01,364.31,446.6,384.2,374.48,184.29,172.36,176.12
1836.14,260.16,194.09,128.56,424.44,425.26,355.93,439.91,400.34,366.58,186.59,173.46,167.69
1837.46,249.54,160.33,127.78,383.2,394.37,347.77,404.06,369.99,329.86,186.45,153.15,143.17
1838.79,253.28,150.97,103.4,382.6,395.44,343.59,376.15,372.92,341.44,181.66,149.52,120.36
1840.11,251.04,143.65,123.78,415.29,389.48,367.73,366.52,387.81,356.96,172.21,136.25,138.91
1841.43,261.71,161.27,113.79,461.49,403.7,406.73,409.38,394.86,388.67,178.99,162.21,146.71
1842.75,277.29,192.83,130.43,476.54,419.44,437.28,423.41,423.42,417.87,208.34,194.41,178.76
1844.07,275.66,193.22,122.25,464.31,421.58,418.91,441.48,425.69,441.47,235.8,203.41,171.95
1845.39,285.5,214.09,134.6,489.82,469.45,425.96,461.25,453.35,454.8,285.04,223.53,217.61
1846.71,272.34,204.34,159.35,484.61,454.61,422.65,472.96,457.96,462.73,296.29,240.99,232.29
1848.03,272.42,210.18,154.39,488.56,469.28,445.86,472.49,455.05,468.5,291.42,265.02,232.55
1849.34,282.18,248.74,174.51,484.8,458.56,432.38,468.94,450.74,484.2,283.88,277.72,228.49
1850.66,298.73,269.11,173.81,496.42,492.56,422.97,477.09,466.81,479.96,300.45,250.54,225.23
