wavenumber,PMMA10ppm-1,PMMA10ppm-2,PMMA10ppm-3,PMMA50ppm-1,PMMA50ppm-2,PMMA50ppm-3,PMMA100ppm-1,PMMA100ppm-2,PMMA100ppm-3,PMMA200ppm-1,PMMA200ppm-2,PMMA200ppm-3
838.95,53.71,60.44,46.95,37.88,41.67,73.44,268.17,309.06,315.27,153.9,179.24,173.38
840.89,66.87,70.95,56.46,45.09,23.63,85.82,306.45,301.11,322.69,181.74,179.71,173.78
842.83,43.15,55.9,43.76,43.09,14.04,44.98,265.87,282.61,306.91,156.37,158.29,148.63
844.77,49.42,66.19,32.39,59.77,21.94,46.81,280.97,314.81,305.15,176.34,170.89,154.82
846.71,36.48,63.6,15.8,66.24,34.81,48.44,267.86,345.13,321.84,184.44,179.27,144.46
848.64,47.77,78.89,40.11,91.93,58.25,72.96,299.33,383.69,338.78,214.43,196.88,152
850.58,51.83,82.96,56.86,92.42,79.14,58.26,357.6,399.39,367.18,218.21,209.61,174.67
852.51,69.01,90.82,73.72,81.69,92.82,52.69,380.66,413.21,399.71,219.78,201.13,206.45
854.44,55.75,70.89,61.48,36.96,79.73,48.68,397.3,434.28,423.48,194.58,177.55,202.8
856.37,52.83,65.31,48.57,15.65,65.99,64.35,374.96,433.36,436.27,172.39,192.31,201.16
858.31,41.57,41.72,40,23.84,58.92,69.02,359.63,425.13,434.41,160.89,200.08,189.87
860.23,51.65,29.14,34.76,30.61,46.52,70.71,335.33,404.25,420.91,155.39,204.86,199.92
862.16,59.18,22.68,41.97,44.74,51.92,73.52,322.49,389.51,408.53,177.69,223.76,180.76
864.09,59.38,34.21,44.52,43.08,52.66,70.34,336.33,376.11,391.51,161,225.35,179.61
866.02,46.58,48.09,47.41,56.08,63.41,77.16,347.53,347.74,393.51,177.32,234.27,175.81
867.94,35.23,61.07,54.07,59.22,48.62,67.78,360.19,361.17,366.64,158.1,183.65,177.13
869.87,37.55,43.67,46.41,63.03,29.84,46.74,313.21,332.62,378.46,186.89,178.38,161.8
871.79,36.98,22.06,50.86,48.96,30.84,34.16,246.69,319.86,332.74,140.48,134.9,128.26
873.71,46.87,22.94,28.24,41.35,25.97,34.36,215.96,261.91,293.82,119.86,147.54,110.18
875.64,28.54,30,19.29,15.36,20.25,32.64,183.04,228.42,226.36,74.36,96.98,87.55
877.56,39.21,47.72,13.31,25.22,17.51,43.98,168.47,200.29,207.26,117.88,107.76,114.61
879.48,17.66,24.78,13.96,15.56,17.9,28.16,140.36,208.29,194.96,107.2,52.99,106.79
881.39,37.66,17.72,19.62,15.56,17.9,28.16,161.16,201.87,187.24,80.87,56.13,95.88
883.31,24.23,0,6.31,0,1.16,0,160.54,200.69,173.43,21.69,37.51,50.87
885.23,24.23,11.75,5.66,0,0,0,160.06,165.32,176.08,0,32.47,45.32
887.14,4.23,11.75,13.25,0,0,0,158.81,154.52,172.98,0,27.21,35.01
889.06,11.26,11.75,13.25,0,0,0,127.7,145.86,177.01,0,14.72,35.82
890.97,19.53,9.67,13.25,0,2.05,8.31,122.83,177.11,167.96,5.8,20.71,66.54
892.88,19.53,9.67,3.3,0.81,2.05,8.31,111.43,188.16,146.04,5.8,5.98,75.72
894.8,8.27,18.81,6.74,0.81,2.05,8.31,105.49,196.68,146.92,5.8,5.98,83.36
896.71,0,9.14,12.19,0.81,0,0,86.91,169.89,170.82,8.27,1.36,35.36
898.62,5.12,18.31,11.04,0,0,0,99.01,177.45,213.75,22.11,22.04,47.03
900.52,7.14,9.17,7.6,0,0,0,126.59,195.49,220.48,51.09,41.6,54.51
902.43,8.3,9.17,2.15,0,0,0,142.29,193,201.34,47.84,40.24,51.11
904.34,4.81,8.01,1.34,7.41,0.25,0,143.8,196.64,210.34,73.05,31.68,57.84
906.24,2.79,11.83,7.15,7.41,1.09,7.29,207.55,151.2,159.92,44.07,23.37,59.48
908.15,14.97,11.83,11.21,12.43,11.33,7.29,208.77,184.89,158.31,75.32,36.52,89.91
910.05,13.35,3.81,9.87,7.52,11.08,7.29,207.24,186.5,102.94,57.14,24.39,85.59
911.95,16.42,10.79,10.53,20.5,16.14,3.41,162.28,207.03,160.15,89.64,25.35,98.84
913.86,3.07,14.93,6.47,20.62,5.91,3.41,143.12,165.69,163.16,67.51,35.44,76.89
915.76,3.33,14.93,10.12,18.12,14.95,3.41,150.1,155.82,174.65,64.18,65.5,49.61
917.66,0.25,6.48,4.01,5.14,9.04,0,159.77,162.31,143.16,69.53,88.74,31.47
919.55,11.14,16.91,9.3,0.97,9.04,0,140.01,158.72,130.58,75.13,76.56,37.25
921.45,16.7,16.91,5.65,0.97,0,0,114.39,130.26,157.81,67.19,78.84,44.61
923.35,20,14.59,5.67,0.97,2.38,4.01,82.91,72.95,131.18,31.73,43.39,35.65
925.24,16.13,12.37,10.81,0,2.38,14.24,80.89,60.44,111.02,27.06,46.6,28.49
927.14,10.32,12.37,12.29,0,2.38,14.24,57.02,67.73,105.67,17.86,14.26,35.13
929.03,15.12,24.5,14.44,1.23,1.68,11.27,44.72,90.61,129.56,33.23,33.7,30.34
930.92,8.11,12.13,4.01,1.23,1.68,1.1,65.88,95.96,171.92,32.41,19.44,41.35
932.81,14.1,12.13,2.53,1.23,1.68,1.1,89.41,67.01,112.65,46.95,27.52,27.35
934.7,10.15,3.16,16.59,3.08,0,6.73,77.07,36.06,102.18,38.28,9.05,59.19
936.59,14.14,4.82,25.34,13.48,22.61,17.05,46.43,19.94,77.08,70.64,9.05,47.38
938.48,16.76,4.82,25.34,13.48,22.61,17.05,25.7,21.41,127.89,89.92,10.86,61.19
940.37,13.16,2.21,19.09,10.41,36.16,11.73,66.77,21.41,105.17,115.33,37.79,22.27
942.25,9.17,6.38,16.95,20.43,13.55,9.2,64.98,47.16,63.25,104.54,56.73,18.98
944.14,0.56,7.83,20.52,20.99,16.4,9.2,70.88,53.93,10.42,106.44,62.49,13.37
946.02,2.09,15.69,15.73,20.99,2.85,15.37,30.14,76.48,30.23,122.37,79.94,48.61
947.91,2.09,9.85,9.11,0.56,2.85,7.52,35.53,39.15,30.23,119.77,92.86,60.17
949.79,9.32,11.94,5.53,0,4.22,18.97,33.07,65.57,68.28,134.97,110.57,84.52
951.67,12.1,18.7,13.65,0,12.62,17.75,83.63,76.36,114.41,142.2,121.65,138.57
953.55,12.1,26.16,13.65,19.86,16.85,17.75,111.77,151.35,164.09,163.67,163.64,189.53
955.43,17.77,30.48,14.68,19.86,24.84,7.78,139.6,144.42,176.16,184.84,203.98,214.52
957.31,29.9,25.93,21.48,39.94,31.28,20.61,143.24,162.63,149.05,209.82,217.8,182.64
959.18,31.09,30.94,27.13,38.23,46.3,21.51,161.46,151.43,156.85,228.04,230.86,190.68
961.06,33.01,35.51,40.72,38.23,61.88,35.81,194.6,169.15,143.91,228.18,238.84,237.63
