wavenumber,PE 10ppm-1,PE 10ppm-2,PE 10ppm-3,PE 50ppm-1,PE 50ppm-2,PE 50ppm-3,PE 100ppm-1,PE 100ppm-2,PE 100ppm-3,PE 200ppm-1,PE 200ppm-2,PE 200ppm-3
456.32,0,0,0,0,0,0,0,0,0,0,0,0
458.45,0,0,0,0,0,0,0,0,0,0,0,0
460.57,0,0,0,0,0,0,0,0,0,0,0,0
462.7,0,0,0,0,0,0,0,0,0,0,0,0
464.83,0,0,0,0,0,0,0,0,0,0,0,0
466.95,0,0,0,0,0,0,0,0,0,0,0,0
469.08,0,0,0,0,0,0,0,0,0,0,0,0
471.2,0,0,0,0,0,0,0,0,0,0,0,0
473.32,0,0,0,0,0,0,0,0,0,0,0,0
475.45,0,0,0,0,0,0,0,0,0,0,0,0
477.57,0,0,0,0,0,0,0,0,0,0,0,0
479.69,0,0,0,0,0,0,0,0,0,0,0,0
481.8,0,0,0,0,0,0,0,0,0,0,0,0
483.92,0,0,0,0,0,0,0,0,0,0,0,0
486.04,0,0,0,0,0,0,0,0,0,0,0,0
488.15,0,0,0,0,0,0,0,0,0,0,0,0
490.27,0,0,0,0,0,0,0,0,0,0,0,0
492.38,0,0,0,0,0,0,0,0,0,0,0,0
494.49,0,0,0,0,0,0,0,0,0,0,0,0
496.61,0,0,0,0,0,0,0,0,0,0,0,0
498.72,0,0,0,0,0,0,0,0,0,0,0,0
500.83,0,0,0,0,0,0,0,0,0,0,0,0
502.93,0,0,0,0,0,0,0,0,0,0,0,0
505.04,0,0,0,0,0,0,0,0,0,0,0,0
507.15,0,0,0,0,0,0,0,0,0,0,0,0
509.25,0,0,0,0,0,0,0,0,0,0,0,0
511.36,0,0,0,0,0,0,0,0,0,0,0,0
513.46,0,0,0,0,0,0,0,0,0,0,0,0
515.56,0,0,0,0,0,0,0,0,0,0,0,0
517.66,0,0,0,0,0,0,0,0,0,0,0,0
519.76,0,0,0,0,0,0,0,0,0,0,0,0
521.86,0,0,0,0,0,0,0,0,0,0,0,0
523.96,0,0,0,0,0,0,0,0,0,0,0,0
526.06,0,0,0,0,0,0,0,0,0,0,0,0
528.16,0,0,0,0,0,0,0,0,0,0,0,0
530.25,0,0,0,0,0,0,0,0,0,0,0,0
532.35,0,0,0,0,0,0,0,0,0,0,0,0
534.44,0,0,0,0,0,0,0,0,0,0,0,0
536.53,0,0,0,0,0,0,0,0,0,0,0,0
538.62,0,0,0,0,0,0,0,0,0,0,0,0
540.71,0,0,0,0,0,0,0,0,0,0,0,0
542.8,0,0,0,0,0,0,0,0,0,0,0,0
544.89,0,0,0,0,0,0,39.2,26.41,49.96,5.01,14.93,38.79
546.98,0,0,0,0,0,0,120.84,86.52,139.9,57.11,52.65,98.01
549.06,0,0,0,0,0,0,177.7,163.42,254.22,111.76,95.26,155.77
551.15,0,0,0,0,0,0,197.01,244.8,293.4,187.76,143.31,158.06
553.23,0,0,0,0,0,0,208.38,252.23,257.28,188.57,163.16,125.82
555.32,0,0,0,0,0,0,191.14,200.38,170.89,166.86,151.82,84.06
557.4,0,0,0,0,0,0,160.31,92.59,81.75,85.86,88.84,61.43
559.48,0,0,0,0,0,0,67.3,25.05,27.93,32.95,31.27,34.45
561.56,0,0,0,0,0,0,27.67,22.48,0,0,0,18.45
563.64,0,0,0,0,0,0,46.15,63.95,22.72,54.42,31.42,52.33
565.72,0,0,0,0,0,0,71.95,81.28,60.22,84.37,43.36,64.83
567.8,0,0,0,0,0,0,71.95,58.8,60.22,84.37,43.36,64.83
569.87,0,0,0,0,0,0,25.8,17.9,47.08,29.95,11.94,12.49
571.95,0,0,0,0,0,0,0.89,0.57,9.58,0,0,0
574.02,0,0,0,0,0,0,0.89,0.57,9.58,0,0,0
576.09,0,0,0,0,0,0,0.89,0,0,0,0,0
578.17,0,0,0,0,0,0,0,0,0,0,0,0
580.24,0,0,0,0,0,0,0,0,0,0,0,0
582.31,0,0,0,0,0,0,0,0,0,0,0,0
584.38,0,0,0,0,0,0,0,0,0,0,0,0
586.45,0,0,0,0,0,0,0,0,0,0,0,0
588.51,0,0,0,0,0,0,0,0,0,0,0,0
590.58,0,0,0,0,0,0,0,0,0,0,0,0
592.64,0,0,0,0,0,0,0,0,0,0,0,0
594.71,0,0,0,0,0,0,0,12.82,2.8,0,0,0
596.77,0,0,0,0,0,0,24.12,14.6,27.46,25.12,16.69,10.29
598.83,0,0,0,0,0,0,24.12,37.99,85.98,66.56,24.32,52.15
600.89,0,0,0,0,0,0,56.35,48.71,120.43,85.56,41.13,100.8
602.95,0,0,0,0,0,0,32.23,102.74,132.51,66.45,52.21,115.74
605.01,0,0,0,0,0,0,36.42,79.34,73.99,25.01,44.57,82.79
607.07,0,0,0,0,0,0,28.13,79.51,59.87,25.82,47.56,34.14
609.13,0,0,0,0,0,0,112.02,107.19,75.6,67.87,130.11,35.55
611.18,0,0,0,0,4.83,30.05,192.56,227.98,193.28,161.06,228.5,101.96
613.24,0,1.19,0,9.51,31,35.55,253.5,313.7,277.37,235.91,312.18,198.99
615.29,0,1.19,0,9.51,80.51,35.55,262.98,346.6,314.98,268.34,311.42,297.75
617.35,0,10.71,0,25.15,128.4,10.43,281.32,332.36,284.11,266.33,283.89,279.07
619.4,0,32.45,5.76,52.89,146.6,24.3,284.96,315.08,279.54,257.67,271.37,261.06
621.45,18.02,32.45,26.58,95.98,139.35,72.65,270.46,302.32,271.82,229.57,227.74,194.95
623.5,18.02,22.93,26.58,87.93,131.75,72.07,212.94,262.19,185,223.16,194.46,191.84
625.55,30.39,20.02,31.92,119.87,108.8,121.8,135.06,200.04,107.21,182.08,113.84,168.07
627.6,77.48,97.82,51.73,185.24,127.95,121.31,112.93,136.96,24.86,185.8,113.68,152.42
629.64,169.35,187.1,154.25,309.7,184.85,185.24,156.22,123.96,110.95,191.63,129.63,193.54
631.69,290.39,338.63,258.01,341.27,282.86,226.95,229.6,165.04,161.72,280.59,222.03,211.45
633.73,388.24,415.29,394.57,371.6,341.62,296.43,261.4,214.87,261.89,374.67,266.21,273.47
635.78,486.35,516.21,470.72,375.48,385.25,370.78,293.06,277.56,282.28,421.97,337.29,329.05
637.82,611.03,609.38,602.44,463.89,434.09,407.34,385.26,362.78,371.18,485.51,415.92,436.52
639.86,710.97,704.14,668.75,490.85,495.8,505.11,473.99,454.86,452.62,541.94,515.45,539.22
641.9,785.7,756.36,758.19,535.56,531.27,553.99,608.81,563.69,528.47,622.83,597.42,593.03
643.94,781.69,749.83,743.53,540.82,540.61,606.07,636.5,587.05,522.52,652.61,614.28,630.06
645.98,742.69,727.66,753.23,550.06,508.94,552.47,611.5,560.38,477.87,613.06,582.15,592.76
648.02,665.72,690.17,702.28,511.61,470.91,517.53,458.82,443.36,382.2,525.52,481.68,489.79
650.06,629.65,643.26,685.91,452.04,390.41,494.47,281.34,324.53,261.73,370.54,355.44,341.72
652.09,603.83,659.26,635.44,395,375.46,475.28,135.74,170.24,124.77,272.45,222.76,213.86
654.13,608.02,631.94,623.65,406.95,310.82,453.41,46.44,86.92,50.8,194.04,173.07,142.68
656.16,574.34,626.09,635.98,413.98,343.6,408.64,83.58,88.03,71.93,223.07,176.5,149.6
658.2,563.67,577.58,660.33,442.67,321.04,375.52,117.36,93.45,83.38,239.77,200.59,155.86
660.23,579.35,621.09,648.69,396.33,281.45,364.38,161.8,68.85,70.69,253.81,192.69,176.78
662.26,585.49,611.05,613.84,389.75,246.62,322.68,144,20,40.19,218.96,209.56,161.81
664.29,601.2,653.58,593.22,366.38,266.66,315.52,163.07,67.7,73.57,222.68,250.99,218.4
666.32,642.25,699.79,637.27,423.64,352.69,331.35,223.13,157.38,148.35,304.72,320.41,283.65
668.34,700.31,749.01,641.33,444.89,351.69,334.82,255.84,213.37,199.02,321.77,326.84,314.24
670.37,686.6,706.12,616.96,438.67,284.23,293.18,196.32,158.76,154.2,240.38,245.15,237.38
672.4,590.45,623.13,538.14,374.32,213.97,156.74,78.48,69.08,79.41,112.21,127.2,157.07
674.42,536.65,583.48,548,333.28,196.36,129.61,33.27,54.8,13.14,84.38,75.4,97.1
676.45,562.51,594.5,540.2,348.55,210.06,156.81,78.16,85.65,58.89,133.88,129.6,134.78
678.47,595.38,603.52,552.06,363.8,241.08,237.99,116.23,109.09,68.13,137.38,185.28,121.14
680.49,547.15,585.77,527.49,321.58,223.63,224.05,82.96,54.29,56.37,81.76,138.36,88.99
682.51,485.91,555.02,517.58,275.67,189.5,180.43,46.93,23.44,11.6,37.81,81.44,22.13
684.53,477.57,607.5,521.22,297.29,196.57,190.67,82.45,69.88,69.04,78.09,97.41,80.92
686.55,541.78,635.19,510.09,330.78,240.84,240.8,161.76,102.22,139.7,155.28,166.27,152.65
