wavenumber,PE 10ppm-1,PE 10ppm-2,PE 10ppm-3,PE 50ppm-1,PE 50ppm-2,PE 50ppm-3,PE 100ppm-1,PE 100ppm-2,PE 100ppm-3,PE 200ppm-1,PE 200ppm-2,PE 200ppm-3
724.71,205.6,270.91,250.41,43.37,25.16,21.23,38.51,43.51,41.33,423.22,555.91,487.13
726.71,258.93,302.63,316.24,51.7,55,45.15,53.71,57.72,74.82,554.18,670.85,602.54
728.71,257.67,273.42,309.82,42.64,66.41,42.16,53.71,64.85,72.62,601.95,596.26,510.71
730.7,229.05,211.5,285.69,8.33,41.25,29.54,17.09,33.62,48.72,578.74,476.01,454.56
732.7,198.94,140.44,194.41,0,11.41,5.61,1.89,19.41,15.22,469.45,370.01,373.95
734.69,144.8,126.33,114.76,0,0,5.61,1.89,12.27,23.05,337.53,380.35,378.33
736.69,128.62,57.86,56.73,0,0,0,8.46,3.56,7.83,274.29,305.04,298.04
738.68,126.29,110.89,99.89,0,0,0,8.46,3.56,7.83,270.29,251.95,227.63
740.67,190.37,141.66,115.78,0,0,0,24.59,3.56,0,263.1,210.99,234.99
742.66,180.18,192.16,113.08,0,0,0,16.12,0,4.55,262.69,214.82,213.78
744.65,152.62,152.95,87.99,0,0,0,16.12,0,4.55,236.31,172.65,181.89
746.64,65.68,110.03,79.2,0,0,0,0,0,4.55,231.28,100.15,147.32
748.63,84.7,140.07,95.36,0,3.73,0,0,0,0,244.92,123.32,197.07
750.61,108.57,169.61,88.37,0.55,3.73,2.04,0,0,0,271.14,198.05,273.03
752.6,179.5,171.89,155.43,11.43,3.73,2.04,1.27,5.17,36.1,295.47,269.22,292.74
754.58,159.27,138.67,151.68,11.43,0,2.04,1.27,5.17,36.1,288.04,315.28,284.66
756.57,167.78,153.18,215.65,10.88,0,6.88,1.27,18.88,36.1,327.06,326.78,265
758.55,160.69,186.42,195.68,0,10.09,6.88,0,13.71,0,311.19,305.39,313.11
760.53,207.43,224.17,263.89,22.17,22.92,24.16,0,28.84,8.05,348.22,350.55,377.07
762.51,220.8,209.53,238.05,22.17,22.92,26.32,0,15.13,8.05,323.92,352.04,439.35
764.49,256.22,259.62,265.6,22.17,12.84,26.32,6.54,15.13,8.05,377.4,402.97,447.39
766.47,259.82,231.21,243.65,7.79,0,22.24,19.93,22.41,0,423.11,403.44,428.95
768.45,256.15,266.2,283.76,20.33,0,13.2,25.06,27.9,13.41,458.92,428.34,381.6
770.42,270.98,220.02,287.04,20.33,0,31.9,28.39,34.49,13.41,486.95,478.46,416.45
772.4,271.42,322.45,310.93,12.54,14.99,21.81,18.26,32.08,32.64,534.65,497.23,411.26
774.37,340.37,334.38,314,12.92,39.84,21.81,67.91,69.11,69.66,542.23,564.54,487.28
776.34,337.04,417.04,343.45,15.26,41.42,3.11,90.89,69.13,90.49,545.92,555.95,486.37
778.32,362.32,397.64,353.51,17.57,31.98,3.67,114.42,78.7,112.72,488.26,550.68,532.77
780.29,358.22,448.85,364.51,38.38,33.75,37.4,121.16,57.82,115.83,496.26,554.05,522.13
782.26,352.61,440.22,353.35,72.3,56.63,59.99,151.34,108.38,143.72,474.81,512.63,538.69
784.23,350.17,456.76,353.35,107.66,99.29,100.31,196.3,123.38,159.71,503.91,514.08,492.1
786.19,383.12,395.69,317.74,109.34,108.61,113.3,181.58,178.05,166.36,556.77,471.96,484.26
788.16,403.9,370.11,308.95,140.8,147.36,152.06,198.97,196.48,203.78,561.84,531.7,469.27
790.13,395.07,348.25,325.22,140.93,135.12,166.15,227.03,242.24,243.2,561.34,544.2,522.03
792.09,395.96,355.11,338.54,177.38,165.54,182.57,277.41,247.33,283.61,488.27,528.79,502.52
794.06,364.67,358.14,332.69,169.28,174.07,185.76,276.9,249.53,268.13,478.4,472.24,490.2
796.02,345.22,312.65,301.33,180.29,199.03,177.73,258.83,242.84,256.42,396.74,415.88,379.4
797.98,245.26,250.33,239.13,134.07,175.11,141.48,219.86,224.25,216.48,311.95,379.39,323.79
799.94,236.24,226.61,223.54,140.4,160.74,159.11,241.12,269.88,236.43,271.14,322.55,250.14
801.9,235.6,236.94,214,133.73,161.37,173.73,244.37,266.84,239.71,299.42,341.11,249.55
803.86,261.68,294.32,265.17,199.06,196.33,240.36,294.62,330.79,306.32,378.79,390.1,285.71
805.82,260.8,285.75,248.72,205.72,206.95,248.31,341.87,334.74,367.59,430.91,414.49,326.6
807.78,312.98,265.55,233.65,245.38,222.57,277.93,362.44,384.36,419.86,431.46,383.3,341.9
809.73,341.87,257.08,222.63,246.04,228.53,274.55,403.35,384.97,438.13,408.43,318.53,314.59
811.69,332.91,237.75,213.76,262.47,256.26,261.95,394.03,396.36,448.17,314.92,317.61,279.14
813.64,279.9,221.03,228.83,266.13,267.54,270.56,445.6,423.97,461.76,260.73,281.66,245.31
815.6,238.81,161.91,178.83,241.01,270.38,258.4,461.39,456.13,477.24,229.84,241.01,251.1
817.55,250.11,208.17,217.55,249.21,291.55,281.9,491.51,470.62,467.71,280.7,268.1,277.62
819.5,235.67,239.03,219.2,264.64,295.61,288.62,483.19,466,498.41,351.19,281.83,283.43
821.45,291.72,335.38,254.66,293.85,309.44,311.45,476.64,458.15,486.88,434.22,339.4,303.09
823.4,299.04,289,250.4,256.28,256.5,277.51,451.64,454.86,475.91,445.54,307.61,272.37
