wavenumber,PS_PLA 10ppm-3,PS_PLA 10ppm-2,PS_PLA 10ppm-1,PS_PLA 50ppm-1,PS_PLA 50ppm-2,PS_PLA 50ppm-3,PS_PLA 100ppm-1,PS_PLA 100ppm-2,PS_PLA 100ppm-3,PS_PLA 200ppm-1,PS_PLA 200ppm-2, PS_PLA 200ppm-3
819.5,285.21,319.78,313.68,304.42,345.61,318.5,464.72,441.7,438.06,521.78,518.43,518.27
821.45,364.48,374.11,359.02,373.62,416.25,380.07,574.2,556.49,518.72,614.82,597.18,598.64
823.4,308.33,307.69,312.94,367.73,378.81,379.56,525.29,554.56,512.99,624.14,582.22,571.28
825.35,276.98,263.73,268.99,304.66,313.52,309.19,444.55,460.13,437.43,520.63,494.75,455.09
827.29,216.87,246.35,244.29,282.17,264.81,287.08,407.09,431.31,402.48,476.73,450.56,397.18
829.24,232.34,244.22,253.83,257.28,259.03,284.89,430.24,417.78,381.47,458.1,423.98,389.87
831.18,259.62,276.56,298.51,257.86,267.05,328.19,469.89,495.41,430.3,484.99,478.58,485.07
833.13,292.59,289.59,323.89,270.48,309.12,326.85,498.93,489.1,409.19,503.93,483.23,529.33
835.07,323.25,311.64,319.28,300.14,326.21,337.54,490.7,536.51,463.14,531.93,507.28,558.98
837.01,322.83,297.28,279.93,317.39,348.57,366.16,482.75,481.54,443.7,522.54,501.28,510.58
838.95,284.87,253.05,216.72,264.45,287.74,335.93,389.31,428.74,409.76,507.33,488.46,487.68
840.89,229.84,223.41,226.08,253.77,265.84,266.96,335.48,345.9,334.78,420.74,472.58,461.73
842.83,173.72,165.02,213.03,216.68,217.86,179.58,253.27,291.33,278.07,373.76,409,402.07
844.77,162.3,139.65,200.68,186.63,196.58,154.57,235.79,244.83,263.43,253.85,381.14,355.47
846.71,149.13,157.87,183.58,164.18,169.24,205.83,259.26,265.62,213.75,263.23,376.24,347.15
848.64,203.98,210.12,207.17,202.76,186.26,263.45,344.79,312.13,288.12,318.34,448.74,443.9
850.58,224.87,267.73,250.79,273.06,252.99,326.12,439.39,391.38,338.56,463.51,521.31,524.72
852.51,282.56,266.15,292.22,295.5,291.87,331.93,453.17,393.81,399.18,539.2,543.72,548.37
854.44,250.07,211.04,273.79,264.43,297.57,294.56,398.12,351.41,341.97,488.07,507.64,489.54
856.37,266.38,189.41,259.5,248.84,273.42,233.68,346.25,304.52,287.6,423.44,465.75,412.22
858.31,228.28,194.36,225.47,238.85,234.54,249.07,314,307.59,256.52,382.11,472.15,425.19
860.23,273.21,244.01,281.46,270.9,254.02,293.82,317.49,355.39,310.51,486.85,491.62,467.89
862.16,275.61,284.48,316.93,306.43,303.33,369.73,397.82,426.71,398.68,577.11,594.27,584.44
864.09,315.83,317.08,344.22,337.79,368.79,360.8,455,482.53,465.03,665.88,647.11,631.17
866.02,286.64,343.94,334.09,336.74,329.85,345.79,500.13,507.32,477.33,654.94,691.57,651.86
867.94,272.81,316.5,302.66,309.41,269.95,336.16,465.67,462.84,442.7,620.07,611.11,619.96
869.87,231.79,311.21,290.04,276.56,243.54,324.69,447.06,440.55,413.92,544.39,520.17,553.24
871.79,216.59,268.05,255.9,257.87,222.28,294.37,385.63,386.43,360.32,489.23,462.41,499.36
873.71,226.09,235.6,212.46,223.22,224.4,267.43,314.6,378.73,337.8,440.14,405.06,415.9
875.64,206.06,154.63,161.83,192.72,179,215.64,260.75,299.53,284.45,392.9,385.24,395.28
877.56,221.96,171.92,163.79,163.16,192.88,224.45,259.54,282.3,244.4,377.96,353.37,391.63
879.48,171.01,145.01,155.57,151.43,158.24,187.42,242.17,215.59,200.86,341.54,323.03,341.16
881.39,156.87,133.59,136.49,106.97,112.76,149.55,182.32,146.72,135.88,245.98,209.55,236.54
