wavenumber,PMMA 10ppm-1,PMMA 10ppm-2,PMMA 10ppm-3,PMMA 50ppm-1,PMMA 50ppm-2,PMMA 50ppm-3,PMMA 100ppm-1,PMMA 100ppm-2,PMMA 100ppm-3,PMMA 200ppm-1,PMMA 200ppm-2,PMMA 200ppm-3
722.71,125.2,99.12,107.1,71.52,71.31,85.9,54.87,31.61,29.87,37.29,0,39.21
724.71,182.79,191.14,168.89,153.08,132.2,153.31,130.75,109.48,125.71,97.13,72.08,126.97
726.71,203.26,218.37,200.88,170.81,185.27,192.37,196.43,144.06,167.98,147.93,128.94,168.76
728.71,179.37,185.91,196.19,181.85,211.64,194.39,191.93,156.99,179.5,146.79,172.19,203.92
730.7,140.36,146.65,178.36,157.41,212.2,180.93,152.91,91.07,133.84,131.6,125.27,157.02
732.7,118.11,130.82,144.95,168.72,202.18,122.55,90.27,56.48,103.88,77.65,97.84,125.93
734.69,124.4,108.19,93.99,132.55,135.67,118.35,51.12,23.75,81.06,75.26,71.35,93.11
736.69,89.6,36.37,61.88,98.13,88.91,80.23,15,33.05,35.95,30.31,46.2,85.78
738.68,41.3,12.21,57.07,69.68,75.45,63.79,11.97,33.05,17.05,30.31,16.77,79.48
740.67,3.16,1.85,77.56,45.53,82.18,17.16,34.59,33.76,37.67,0,0,43.35
742.66,12.01,1.85,54.7,56.69,55.32,2.93,48.59,12.51,32.61,0,0,9.84
744.65,8.86,1.85,20.49,33.85,25.31,2.93,48.59,12.51,32.61,0,0,0
746.64,8.86,0,0,33.85,5.07,1.61,14.75,0,0,0,0,0
748.63,0,0,0,0,38.77,0,30.2,3.18,0,0,0,0
750.61,0,0,0,1.43,57.33,0,46.8,3.18,23.78,0,0,0
752.6,0,0,0,31.84,61.72,0,62.91,49.11,29.29,0,0,0
754.58,0,0,0,31.84,25.15,0,57.81,45.93,29.29,0,0,0
756.57,0,0,0,42.99,4.4,0,57.86,91.2,23.97,0,0,0
758.55,0,0,0,12.58,0.04,0,48.72,45.28,18.46,0,0,0
760.53,22.47,27.11,19.65,44.2,0.04,59.84,83.96,84.39,69.03,24.58,10.22,12.89
762.51,22.47,27.7,19.65,31.62,14.81,64.56,78.34,84.5,75.7,24.58,51.85,35.48
764.49,29.23,64.46,23.65,66.72,41.46,74.83,97.76,95.84,90.76,42.56,68.28,83.48
766.47,21.38,40.31,19.56,69.49,77.74,81.5,52.55,83.36,66.5,31.23,102.01,95.71
768.45,57.45,64.14,19.56,86.4,109.43,105.48,90.6,66.8,63.5,47.71,90.11,93.64
770.42,123.12,74.18,15.56,115.98,109.97,120.97,88.47,79.73,70.98,65.72,80.81,66.49
772.4,147.45,112.2,29.62,153.2,122.81,91.09,86.26,92.57,83.72,83.45,40.56,85.05
774.37,164.65,152.09,69.92,183.27,161.84,128.73,92.2,108.24,110.6,123.78,71.57,95.86
776.34,126.73,165.85,121.81,175.87,206.38,168.22,117.62,135.71,129.3,159.39,86.84,155.26
778.32,105.12,180.92,136.93,140.76,190.22,217.68,146.97,140.44,111.24,184.06,112.16,170.36
780.29,138.39,168.87,166.58,159.18,199.58,187.98,161.46,158.65,118,184.99,117.74,198.71
782.26,154.98,179.14,130.22,158.56,179.57,195.92,150.21,153.45,131.69,150.65,180.36,144.43
784.23,205.89,165.72,128.17,156.57,190.53,155.82,155.56,173.85,179.62,146.69,206.36,127.18
786.19,162,154.5,58.21,161.1,187.34,173.9,117.72,172.39,182.04,128.67,207.28,133.85
788.16,159.43,119.27,107.68,159.93,220.77,166.61,144.13,184.85,199.38,157.37,201.25,201.22
790.13,138.08,138.24,87.68,183.28,264.06,192.17,147.7,185.79,211.53,138.01,208.14,190.17
792.09,145.15,171.97,133.54,194.38,229.76,237.48,211.63,192.43,196.38,201.8,189.19,170.93
794.06,138.09,189.91,132.5,201.33,217.64,207.63,203.04,194.56,160.37,190.54,145.83,77.59
796.02,134.36,155.83,150.11,182.57,205.15,177.41,194.05,167.27,134.28,187.99,118.5,70.3
797.98,108.39,134.85,137.81,131.23,189.07,137.27,100.42,121.35,164.23,107.26,75.33,58.48
799.94,104.62,161.74,135.38,143.07,209.51,168.97,126.61,149.91,217.99,123.47,144.41,176.93
801.9,109.07,220.49,156.48,179.09,220.13,221.53,168.27,200.28,283.56,183.62,177.75,248.95
803.86,197.61,245.68,218.68,343.86,363.16,330.49,307.97,339.69,374.82,302.59,341.58,398.77
805.82,261.47,273.85,266.19,430.6,472.48,418.08,399.93,407.68,464.01,457.6,467.1,527.62
807.78,334.65,272.34,338.02,549.63,574.77,526.64,539.48,503.93,541.12,653.66,724.66,758.16
809.73,317.71,352.7,345.05,564.17,577.9,539.7,629.18,584.66,652.04,857.33,931.48,908.62
811.69,315.86,378.82,341.84,561.13,553.11,579.84,687.57,686.76,727.66,977.48,1092.78,1007.54
813.64,288.33,396.92,299.27,522.38,524.62,531.95,666.89,720.12,748.2,969.33,1068.78,1008.83
815.6,274.9,312.78,249.13,413.05,442.86,466.79,601.91,683.84,630.78,820.68,866.59,874.92
817.55,242.9,236.41,185.75,338.12,337.52,372.37,506.64,564.59,540.38,617.18,619.54,666.81
819.5,217,157.46,145.8,270.26,264.57,309.69,445.39,475.38,440.69,436.17,444.31,440.5
821.45,185.08,133.16,118.82,230.7,197.26,296.3,375.74,399.09,367.91,342.86,324.1,353.55
823.4,117.35,108.63,113.28,209.88,170.01,247.65,341.45,364.17,302.5,273.38,199.71,280.4
825.35,50,85.74,90.71,149.02,145.73,234.63,268.09,315.84,259.01,234.93,93.68,210.61
827.29,21.6,38.28,133.23,129.23,181.52,194.68,242.1,263.2,240.22,175.64,45.13,130.29
829.24,21.6,28.92,100.85,99.19,174.39,154.46,197.13,170.94,185.8,103.83,25.03,101.76
831.18,57.58,70.65,77.89,142.22,137.32,121.32,212.21,157.7,198.07,51.5,4.82,96.37
833.13,42.58,67.21,52.81,158.43,113.11,99.37,212.09,136.95,200.15,52.77,10.13,110.23
835.07,42.58,48.13,48.3,145.61,117.85,114.03,217.9,189.45,208.15,66.41,10.13,108.77
837.01,22.21,7.7,57.17,133.75,145.22,150.33,224.96,199.87,184.08,105.08,23.11,117.66
838.95,21.39,7.7,30.92,130.07,136.45,111.14,221.17,203.1,179.48,59.63,52.07,77.46
840.89,21.39,39.9,61.16,178.13,112.41,113.69,209.74,178.7,186.57,87.71,52.07,42.48
842.83,5.78,37.55,77.64,133.82,122.33,70.2,181.57,146.56,190.92,47.5,47.85,50.1
844.77,4.03,37.55,98.44,100.13,108.54,109.66,163.66,150.33,198.2,47.5,18.67,95.07
846.71,44.47,39.37,74.89,98.08,119.05,159.43,166,152.7,201.39,11.69,45.97,141.32
848.64,90.01,96.49,80.09,133.43,91.29,222.59,159.37,171.09,234.61,55.02,73.61,143.1
850.58,154.33,126.05,80.95,188.41,158.83,276.05,186.33,172.08,244.42,127.59,140.95,136.57
852.51,208.19,126.83,152.67,183.57,251.22,290.02,242.11,195.54,275.37,186.55,163.87,175.62
854.44,232.26,121.8,157.93,188.25,279.79,289.51,253.69,210.82,248.8,208.43,183.7,173.57
856.37,243.54,144.32,185.4,193.77,275.2,279.84,235.75,193.9,238.03,188.23,146.11,191.43
858.31,220.47,128.82,157.18,184.26,259.25,293.8,203.74,202.24,238.86,185.73,145.55,140.63
860.23,181.39,137.97,148.27,194.04,291.58,289.39,211.64,198.16,214.6,138.26,134,132.19
862.16,161.73,129.55,133.79,172.56,282.66,285.38,223.91,203.79,231.37,135.59,111.59,106.53
864.09,103.29,155.66,150.84,204.27,266.25,260.22,193.33,189.22,216.62,145.52,125.76,142.12
866.02,73.61,117.87,143.65,187.37,233.24,211.79,182.44,149.02,241.9,123.26,117.07,113.83
867.94,44.24,74.22,92.16,165.11,178.85,214.33,180.81,140.41,203.1,73.55,117.72,102.55
869.87,31.46,23.46,60.16,96.02,89.3,176.38,169.99,112.94,171.44,0,53.9,32.48
871.79,30.61,9.06,48.03,68.45,27.02,179.94,130.97,129.28,121.92,16.92,17.9,27.42
873.71,0,9.06,63.72,71.73,25.52,142.68,99.11,131.77,107.55,16.92,1.95,0
875.64,0,9.06,28.48,75.08,25.52,120.82,71.6,98.19,59.32,16.92,1.95,0
877.56,0,0,15.69,94.28,25.52,84.15,72.24,55.52,77.11,0,1.95,0
879.48,0,0,0,55.08,0,39.21,47.92,8.8,50.94,0,0,0
881.39,0,0,0,43.31,0,17.06,38.06,8.8,50.94,0,0,0
883.31,0,0,0,5.2,0,1.85,12.39,0,7.41,0,0,0
885.23,0,0,0,5.2,0,14.89,0,0,0,0,0,0
