wavenumber,PLA 100ppm-1,PLA 100ppm-2,PLA 100ppm-3,PLA 200ppm-1,PLA 200ppm-2,PLA 200ppm-3
1215.45,0,0,20.33,0,0,0
1217.18,0,0,20.33,0,0,0
1218.92,0,6.61,15.48,0,0,0
1220.65,6.62,14.79,26.71,0,0,0
1222.38,6.62,14.79,31.62,0,0,0
1224.1,6.62,8.18,31.62,0,0,0
1225.83,0,0,4.91,0,0,0
1227.56,0,0,0,0,0,0
1229.28,0,0,0,0,0,0
1231.01,0,3.19,0,0,0,0
1232.73,0,3.19,0,0,0,0
1234.45,0,16.62,0,0,0,0
1236.17,8.91,13.42,0.69,0,0,0
1237.9,8.91,13.42,0.69,0,0,0
1239.61,13.94,5.42,0.69,0,0,6.85
1241.33,12.91,5.42,18.55,0,0,6.85
1243.05,12.91,5.42,33.48,0,0,6.85
1244.77,7.88,0,33.48,0,0,0
1246.48,0,10.56,14.93,0,0,0
1248.2,8.97,19.99,9.52,9.64,12.45,0
1249.91,8.97,24.09,10.98,21.5,12.45,2.78
1251.62,32.36,61.41,43.51,30.04,23.39,24.54
1253.33,29.65,58.74,49.36,22.73,15.47,46.4
1255.04,29.65,64.09,58.57,24.76,41.37,47.36
1256.75,17.86,31.01,26.04,27.37,46.03,26.56
1258.46,12.41,24.61,13.16,26.31,42.03,30.78
1260.17,33.79,20.77,2.49,23.82,27.61,27.04
1261.87,22.2,5.98,2.49,23.46,31.63,43.27
1263.58,38.68,5.61,45.21,64.33,52.57,32.41
1265.28,27.07,9.38,57.86,87.43,65.06,59.98
1266.99,27.07,19.68,71.39,88.98,64.68,87.14
1268.69,22.81,51.04,33.04,62.1,65.2,97.2
1270.39,45.68,68.62,40.48,48.35,57.17,71.05
1272.09,84.14,89.77,54.16,63.49,73.05,33.14
1273.79,95.15,74.15,62.4,69.86,71.15,35.79
1275.49,89.39,69.77,56.55,55.46,70.16,59.67
1277.18,62.64,39.4,42.38,64.74,63.51,71.56
1278.88,38.59,26.49,27.99,54.48,43.42,43.64
1280.57,29.2,25.82,13.76,73.44,37.45,18.34
1282.27,25.49,24.73,4.62,36.69,8.98,11.26
1283.96,25.49,30.63,7.72,40.56,24.15,20.69
1285.65,41.92,29.44,24.81,39.66,61.98,52.95
1287.34,33.92,29.44,20.91,54.49,61.98,56.35
1289.03,33.92,24.15,17.09,39.5,47.73,73.31
1290.72,14.6,14.88,0,33.17,35.82,73.28
1292.41,30.29,42.75,30.41,68.75,72.5,109.14
1294.1,68.07,65.28,56.54,135.88,125.04,139.57
1295.78,63.79,68.71,66.52,149.58,104.15,146.23
1297.47,100.41,66.38,70.39,165.18,110.49,115.12
1299.15,98.48,63.16,70.71,149.56,80.28,102.46
1300.84,137.46,96.18,77.93,163.5,139.3,115.36
1302.52,140.66,110.77,84.71,139,159.55,150.83
1304.2,129.22,103.03,80.85,137.84,179.47,134.64
1305.88,114.78,94.64,107.99,154.02,154.4,121.78
1307.56,74.57,69.48,91.7,142.1,108.89,119.83
1309.24,84.6,76.21,82.98,122.4,90.94,139.43
1310.91,66.97,71.3,48.93,67.37,89.67,144.04
1312.59,65.13,80.83,24.16,74.46,83.51,131.44
1314.26,50.63,59.07,13.25,66.22,100.36,130.17
1315.94,39.81,24.5,11.35,84.65,94.21,114.91
1317.61,54.78,10.51,11.35,94.87,115.51,92.43
1319.28,37.09,10.51,8.39,98.75,95.81,79.96
1320.95,47.41,10.51,8.63,111.97,83.12,66.82
1322.62,20.96,0,19.84,97.42,62.66,71.25
1324.29,23.74,0,37.72,112.09,67.76,77.23
1325.96,10.86,14,29.09,112.1,83.53,84.89
1327.63,8.88,14,17.89,115.89,94.41,67.66
1329.29,16.24,27.57,0,137.46,120.41,74.22
1330.96,38.51,15.87,1.2,154.92,119.63,90.66
1332.62,43.12,27.03,11.22,168.16,123.3,112.89
1334.28,33.74,33.02,33.6,144.97,99.86,107.68
1335.95,31.03,44.02,34.48,142.1,106.43,110.13
1337.61,26.41,48.36,29.04,147.9,123.33,111.26
1339.27,28.39,40.38,6.66,165.38,145.23,107.39
1340.92,39.26,48.62,7.46,190.41,151.03,115.08
1342.58,50.94,52.77,7.16,201.99,165.71,109.32
1344.24,65.16,68.36,20.26,203.69,194.51,145.68
1345.89,62.61,51.86,31.3,202.61,201.53,171.27
